statNm,addr,output,statId,chgerId,lat,lng,method,year
인천 영창운수(운수사 전용),인천광역시 동구 만석로 67,100,ST281402,01,37.4813274,126.6256352,동시,2021
인천 영창운수(운수사 전용),인천광역시 동구 만석로 67,100,ST281402,02,37.4813274,126.6256352,동시,2021
인천 영창운수(운수사 전용),인천광역시 동구 만석로 67,100,ST281402,03,37.4813274,126.6256352,동시,2021
인천 영창운수(운수사 전용),인천광역시 동구 만석로 67,100,ST281402,04,37.4813274,126.6256352,동시,2021
인천 영창운수(운수사 전용),인천광역시 동구 만석로 67,100,ST281402,05,37.4813274,126.6256352,동시,2021
인천 영창운수(운수사 전용),인천광역시 동구 만석로 67,100,ST281402,06,37.4813274,126.6256352,동시,2021
이마트 T송림점,인천광역시 동구 봉수대로 82,100,ST281403,01,37.483059,126.6603512,동시,2022
이마트 T송림점,인천광역시 동구 봉수대로 82,100,ST281403,02,37.483059,126.6603512,동시,2022
이마트 T송림점,인천광역시 동구 봉수대로 82,100,ST281403,03,37.483059,126.6603512,동시,2022
이마트 T송림점,인천광역시 동구 봉수대로 82,100,ST281403,04,37.483059,126.6603512,동시,2022
인천 대신교통(운수사 전용),인천광역시 미추홀구 염창로 16-1,100,ST281703,01,37.4657338,126.6754659,동시,2021
인천 대신교통(운수사 전용),인천광역시 미추홀구 염창로 16-1,100,ST281703,02,37.4657338,126.6754659,동시,2021
인천 대신교통(운수사 전용),인천광역시 미추홀구 염창로 16-1,100,ST281703,03,37.4657338,126.6754659,동시,2021
인천 대신교통(운수사 전용),인천광역시 미추홀구 염창로 16-1,100,ST281703,04,37.4657338,126.6754659,동시,2021
인천 대신교통(운수사 전용),인천광역시 미추홀구 염창로 16-1,100,ST281703,05,37.4657338,126.6754659,동시,2021
인천 대신교통(운수사 전용),인천광역시 미추홀구 염창로 16-1,100,ST281703,06,37.4657338,126.6754659,동시,2021
인천 동일운수(운수사 전용),인천광역시 미추홀구 노적산로 62,100,ST281704,01,37.4407292,126.6561518,동시,2021
인천 동일운수(운수사 전용),인천광역시 미추홀구 노적산로 62,100,ST281704,02,37.4407292,126.6561518,동시,2021
인천 동일운수(운수사 전용),인천광역시 미추홀구 노적산로 62,100,ST281704,03,37.4407292,126.6561518,동시,2021
인천 동일운수(운수사 전용),인천광역시 미추홀구 노적산로 62,100,ST281704,04,37.4407292,126.6561518,동시,2021
인천 신성교통(운수사 전용),인천광역시 미추홀구 경원대로 923,100,ST281705,03,37.4652407,126.689738,동시,2023
인천 신성교통(운수사 전용),인천광역시 미추홀구 경원대로 923,100,ST281705,04,37.4652407,126.689738,동시,2023
인천 유성택시 (운수사 전용),인천광역시 미추홀구 석정로329번길 22,100,ST281706,01,37.4686878,126.671736,동시,2021
인천 유성택시 (운수사 전용),인천광역시 미추홀구 석정로329번길 22,100,ST281706,02,37.4686878,126.671736,동시,2021
인천 유성택시 (운수사 전용),인천광역시 미추홀구 석정로329번길 22,100,ST281706,03,37.4686878,126.671736,동시,2021
인천 유성택시 (운수사 전용),인천광역시 미추홀구 석정로329번길 22,100,ST281706,04,37.4686878,126.671736,동시,2021
인천 유성택시 (운수사 전용),인천광역시 미추홀구 석정로329번길 22,100,ST281706,05,37.4686878,126.671736,동시,2021
인천 유성택시 (운수사 전용),인천광역시 미추홀구 석정로329번길 22,100,ST281706,06,37.4686878,126.671736,동시,2021
현대블루핸즈 송도종합서비스(구_송도현대모터스),인천광역시 미추홀구 독배로 183,100,ST281708,01,37.4369646,126.6473512,동시,2021
현대블루핸즈 송도종합서비스(구_송도현대모터스),인천광역시 미추홀구 독배로 183,100,ST281708,02,37.4369646,126.6473512,동시,2021
현대블루핸즈 학익점,인천광역시 미추홀구 한나루로 373,50,ST281709,01,37.4415908,126.6626657,단독,2021
보성운수(운수사 전용),인천광역시 미추홀구 염전로 393,100,ST281715,01,37.4697171,126.6838373,동시,2021
보성운수(운수사 전용),인천광역시 미추홀구 염전로 393,100,ST281715,02,37.4697171,126.6838373,동시,2021
삼정기업(운수사 전용),인천광역시 미추홀구 인주대로 88,100,ST281716,01,37.4572236,126.647076,동시,2021
삼정기업(운수사 전용),인천광역시 미추홀구 인주대로 88,100,ST281716,02,37.4572236,126.647076,동시,2021
삼정기업(운수사 전용),인천광역시 미추홀구 인주대로 88,100,ST281716,03,37.4572236,126.647076,동시,2021
삼정기업(운수사 전용),인천광역시 미추홀구 인주대로 88,100,ST281716,04,37.4572236,126.647076,동시,2021
제원기업(운수사 전용),인천광역시 미추홀구 석정로301번길 43,100,ST281718,01,37.4700558,126.6703914,동시,2021
제원기업(운수사 전용),인천광역시 미추홀구 석정로301번길 43,100,ST281718,02,37.4700558,126.6703914,동시,2021
제원기업(운수사 전용),인천광역시 미추홀구 석정로301번길 43,100,ST281718,03,37.4700558,126.6703914,동시,2021
제원기업(운수사 전용),인천광역시 미추홀구 석정로301번길 43,100,ST281718,04,37.4700558,126.6703914,동시,2021
제원기업(운수사 전용),인천광역시 미추홀구 석정로301번길 43,200,ST281718,05,37.4700558,126.6703914,동시,2023
제원기업(운수사 전용),인천광역시 미추홀구 석정로301번길 43,200,ST281718,06,37.4700558,126.6703914,동시,2023
현대블루핸즈 미진자동차공업,인천광역시 미추홀구 경원대로 922,100,ST281720,01,37.464999,126.6901547,단독,2022
용현5동 제2노외주차장,인천광역시 미추홀구 용현동 665-20,100,ST281722,01,37.4477,126.6465,동시,2023
용현5동 제2노외주차장,인천광역시 미추홀구 용현동 665-20,100,ST281722,02,37.4477,126.6465,동시,2023
주안1동 제1노외주차장,인천광역시 미추홀구 주안로 69,100,ST281723,01,37.46445,126.677322,동시,2023
주안1동 제1노외주차장,인천광역시 미추홀구 주안로 69,100,ST281723,02,37.46445,126.677322,동시,2023
주안6동 제3노외주차장,인천광역시 미추홀구 경원대로897번길 57,100,ST281724,01,37.4629553,126.68644,단독,2023
도화2 3동 행정복지센터,인천광역시 미추홀구 장고개로 29-1,100,ST281725,01,37.4709226,126.6661438,동시,2023
도화2 3동 행정복지센터,인천광역시 미추홀구 장고개로 29-1,100,ST281725,02,37.4709226,126.6661438,동시,2023
관교동 제3노외주차장,인천광역시 미추홀구 인하로430번길 42,100,ST281726,01,37.4441882,126.6931245,동시,2023
관교동 제3노외주차장,인천광역시 미추홀구 인하로430번길 42,100,ST281726,02,37.4441882,126.6931245,동시,2023
현대자동차 인천지점(임직원 전용),인천광역시 미추홀구 샛골로 1-1,100,ST281727,01,37.4628248,126.64242,단독,2023
이마트 연수점,인천광역시 연수구 경원대로 184,100,ST281803,01,37.4042186,126.6811196,동시,2022
이마트 연수점,인천광역시 연수구 경원대로 184,100,ST281803,02,37.4042186,126.6811196,동시,2022
이마트 연수점,인천광역시 연수구 경원대로 184,100,ST281803,03,37.4042186,126.6811196,동시,2022
이마트 연수점,인천광역시 연수구 경원대로 184,100,ST281803,04,37.4042186,126.6811196,동시,2022
이마트 연수점,인천광역시 연수구 경원대로 184,100,ST281803,05,37.4042186,126.6811196,동시,2022
이마트 연수점,인천광역시 연수구 경원대로 184,100,ST281803,06,37.4042186,126.6811196,동시,2022
현대블루핸즈 연수점,인천광역시 연수구 동곡재로 31,100,ST281804,01,37.4145838,126.672638,동시,2022
현대블루핸즈 연수점,인천광역시 연수구 동곡재로 31,100,ST281804,02,37.4145838,126.672638,동시,2022
현대블루핸즈 간석점,인천광역시 남동구 경인로 776,50,ST282001,01,37.4787005,126.710969,단독,2021
영진기업,인천광역시 남동구 석정로 534,200,ST282004,01,37.4655583,126.6949149,동시,2022
영진기업,인천광역시 남동구 석정로 534,200,ST282004,02,37.4655583,126.6949149,동시,2022
영진기업,인천광역시 남동구 석정로 534,200,ST282004,03,37.4655583,126.6949149,동시,2022
영진기업,인천광역시 남동구 석정로 534,200,ST282004,04,37.4655583,126.6949149,동시,2022
현대자동차 논현지점,인천광역시 남동구 앵고개로 936,200,ST282007,01,37.402094493,126.73455116,동시,2022
향촌공영주차장,인천광역시 남동구 만수서로 46-1,100,ST282008,01,37.461131471,126.73129076,동시,2023
향촌공영주차장,인천광역시 남동구 만수서로 46-1,100,ST282008,02,37.461131471,126.73129076,동시,2023
구월도매시장공영주차장,인천광역시 남동구 성말로32번길 19,100,ST282009,01,37.444406486,126.70432415,동시,2023
구월도매시장공영주차장,인천광역시 남동구 성말로32번길 19,100,ST282009,02,37.444406486,126.70432415,동시,2023
돌산마루1호 공영주차장,인천광역시 남동구 용천로176번길 70,100,ST282010,01,37.464631908,126.71821944,동시,2023
돌산마루1호 공영주차장,인천광역시 남동구 용천로176번길 70,100,ST282010,02,37.464631908,126.71821944,동시,2023
새남촌공영주차장,인천광역시 남동구 남촌동 357-1,200,ST282011,01,37.4330753,126.7132346,동시,2023
새남촌공영주차장,인천광역시 남동구 남촌동 357-1,200,ST282011,02,37.4330753,126.7132346,동시,2023
새남촌공영주차장,인천광역시 남동구 남촌동 357-1,100,ST282011,03,37.4330753,126.7132346,동시,2023
새남촌공영주차장,인천광역시 남동구 남촌동 357-1,100,ST282011,04,37.4330753,126.7132346,동시,2023
새남촌공영주차장,인천광역시 남동구 남촌동 357-1,100,ST282011,05,37.4330753,126.7132346,동시,2023
새남촌공영주차장,인천광역시 남동구 남촌동 357-1,100,ST282011,06,37.4330753,126.7132346,동시,2023
남동공단2호공영주차장,인천광역시 남동구 남촌동 644,200,ST282012,01,37.4161856,126.7120263,동시,2023
남동공단2호공영주차장,인천광역시 남동구 남촌동 644,200,ST282012,02,37.4161856,126.7120263,동시,2023
남동공단2호공영주차장,인천광역시 남동구 남촌동 644,200,ST282012,03,37.4161856,126.7120263,동시,2023
남동공단2호공영주차장,인천광역시 남동구 남촌동 644,200,ST282012,04,37.4161856,126.7120263,동시,2023
남동공단2호공영주차장,인천광역시 남동구 남촌동 644,100,ST282012,05,37.4161856,126.7120263,동시,2023
남동공단2호공영주차장,인천광역시 남동구 남촌동 644,100,ST282012,06,37.4161856,126.7120263,동시,2023
장도로공영주차장,인천광역시 남동구 논현1동 728-10,100,ST282013,01,37.3998761,126.7372382,동시,2023
장도로공영주차장,인천광역시 남동구 논현1동 728-10,100,ST282013,02,37.3998761,126.7372382,동시,2023
장도로공영주차장,인천광역시 남동구 논현1동 728-10,100,ST282013,03,37.3998761,126.7372382,동시,2023
장도로공영주차장,인천광역시 남동구 논현1동 728-10,100,ST282013,04,37.3998761,126.7372382,동시,2023
논현제5공영주차장,인천광역시 남동구 논현동 742-1,200,ST282014,01,37.3998401,126.7235086,동시,2023
논현제5공영주차장,인천광역시 남동구 논현동 742-1,200,ST282014,02,37.3998401,126.7235086,동시,2023
소래제2공영주차장,인천광역시 남동구 논현동 750-2,100,ST282015,01,37.3997039,126.7348177,단독,2023
소래제3공영주차장,인천광역시 남동구 논현동 749-3,100,ST282016,01,37.4012347,126.7317781,동시,2023
소래제3공영주차장,인천광역시 남동구 논현동 749-3,100,ST282016,02,37.4012347,126.7317781,동시,2023
서창5호공영주차장,인천광역시 남동구 서창동 567-4,100,ST282017,01,37.4342432,126.7512935,동시,2023
서창5호공영주차장,인천광역시 남동구 서창동 567-4,100,ST282017,02,37.4342432,126.7512935,동시,2023
양지제2호무인공영주차장,인천광역시 남동구 간석동 416-1,100,ST282018,01,37.4599203,126.7047312,단독,2023
태양상운수(운수사 전용),인천광역시 부평구 부평북로 179,100,ST282301,01,37.5229353,126.7130302,동시,2021
태양상운수(운수사 전용),인천광역시 부평구 부평북로 179,100,ST282301,02,37.5229353,126.7130302,동시,2021
태양상운수(운수사 전용),인천광역시 부평구 부평북로 179,100,ST282301,03,37.5229353,126.7130302,동시,2021
